vnb_id,vnb_name,score,updated_at
0b2d22e0,SachsenNetze GmbH,0,2025-10-30
ad13be72,SachsenNetze HS.HD GmbH,0,2025-10-30
0e7bd422,Stadtwerke Riesa GmbH,0,2025-10-30
044f9b91,Stadtwerke Elbtal GmbH,0,2025-10-30
7a340e36,Meißener Stadtwerke GmbH,0,2025-10-30
96ffa483,Freitaler Stadtwerke GmbH,0,2025-10-30
7ccf51f8,Stadtwerke Pirna Energie GmbH,0,2025-10-30
b283205d,Energie und Wasserversorgung Aktiengesellschaft Kamenz,0,2025-10-30
efb48028,Stadtwerke Senftenberg GmbH,0,2025-10-30
66a1c4ac,BASF Schwarzheide GmbH,0,2025-10-30
c9850879,Energie- und Wasserwerke Bautzen GmbH,0,2025-10-30
50a2b3f4,Stadtwerke Löbau GmbH,0,2025-10-30
20cdc2f5,Stadtwerke Zittau GmbH,0,2025-10-30
fdb1c4d2,Stadtwerke Görlitz AG,0,2025-10-30
47d6e656,Stadtwerke Niesky GmbH,0,2025-10-30
cacbad99,Stadtwerke Weißwasser GmbH,0,2025-10-30
daef09ce,Versorgungsbetriebe Hoyerswerda GmbH,0,2025-10-30
382e84b7,Elektroenergieversorgung Cottbus GmbH,0,2025-10-30
fb0bad75,Städtische Werke Spremberg (Lausitz) GmbH,0,2025-10-30
4cf5cdc4,Netzgesellschaft Forst (Lausitz) mbH & Co. KG,0,2025-10-30
5e31e0b2,Energieversorgung Guben GmbH,0,2025-10-30
57c4fb46,Stadt- und Überlandwerke GmbH Luckau-Lübbenau,0,2025-10-30
350a73fc,Stadtwerke Finsterwalde GmbH,0,2025-10-30
afd10af4,Netz Leipzig GmbH,0,2025-10-30
b8442920,Stadtwerke Schkeuditz GmbH,0,2025-10-30
b34f5e3c,Stadtwerke Delitzsch GmbH,0,2025-10-30
8b5ef500,Städtische Werke Borna Netz GmbH,0,2025-10-30
f03c14d9,Energie- und Wasserversorgung Altenburg GmbH,0,2025-10-30
c3b66878,Stadtwerke Döbeln GmbH,0,2025-10-30
738ac62b,Stadtwerke Eilenburg GmbH,0,2025-10-30
90f0f015,Stadtwerke Torgau GmbH,0,2025-10-30
93d3d285,Energieversorgung Halle Netz GmbH,50,2025-10-30
8bfbc6cc,Mitteldeutsche Netzgesellschaft Strom mbH,0,2025-10-30
4fa53768,Verteilnetz Plauen GmbH,0,2025-10-30
388424b1,Stadtwerke Merseburg GmbH,0,2025-10-30
c8114833,Industrienetzgesellschaft Schkopau mbH,0,2025-10-30
8eb2621e,Stadtwerke Lutherstadt Eisleben GmbH,0,2025-10-30
1fdbb6f7,Stadtwerke Hettstedt GmbH,0,2025-10-30
ffd0edb5,Stadtwerke Bernburg GmbH,0,2025-10-30
bd80d44d,ASCANETZ GmbH,0,2025-10-30
1d7d19bc,Stadtwerke Quedlinburg GmbH,0,2025-10-30
ad848761,Stadtwerke Sangerhausen GmbH,0,2025-10-30
06635360,Technische Werke Naumburg GmbH,0,2025-10-30
e1535a32,Stadtwerke Weißenfels Energienetze GmbH,0,2025-10-30
0531bccf,REDINET Burgenland GmbH,0,2025-10-30
60c649c5,EVIP GmbH,0,2025-10-30
d9756cc9,Netzgesellschaft Bitterfeld-Wolfen mbH,0,2025-10-30
1b8a4503,Dessauer Stromversorgung GmbH,0,2025-10-30
62414e99,Stadtwerke Lutherstadt Wittenberg GmbH,0,2025-10-30
27b73a6a,Saalfelder Energienetze GmbH,0,2025-10-30
c8be5a25,Elektrizitätswerk Max Peissker,0,2025-10-30
c16a3a51,EnR Energienetze Rudolstadt GmbH,0,2025-10-30
33d909cd,GeraNetz GmbH,0,2025-10-30
19d502fb,Netzgesellschaft Eisenberg mbH,0,2025-10-30
3939a41c,TRIDELTA Energieversorgungs GmbH,0,2025-10-30
8ceac1ae,Stadtwerke Stadtroda GmbH,0,2025-10-30
a39794c0,Stadtwerke Jena Netze GmbH,0,2025-10-30
06beb693,Stadtwerke Neustadt an der Orla GmbH,0,2025-10-30
60fa0c69,Energiewerke Zeulenroda GmbH,0,2025-10-30
218f4912,Greizer Energienetze GmbH,0,2025-10-30
c2e88979,Zwickauer Energieversorgung GmbH,0,2025-10-30
afc33ca2,Elektrizitätswerk des Kantons Schaffhausen AG,0,2025-10-30
e90525d2,Stadtwerke Aue - Bad Schlema GmbH,0,2025-10-30
f7157822,Stadtwerke Schneeberg GmbH,0,2025-10-30
a9f9739b,Stadtwerke Schwarzenberg GmbH,0,2025-10-30
03f94845,Stadtwerke Glauchau Dienstleistungsgesellschaft mbH,0,2025-10-30
6ef609af,Stadtwerke Meerane GmbH,0,2025-10-30
ffbdc6a7,Stadtwerke Werdau GmbH,0,2025-10-30
09574852,Stadtwerke Reichenbach/Vogtl. GmbH,0,2025-10-30
bfc951ee,Stadtwerke OELSNITZ/V. GmbH,0,2025-10-30
0fb413d7,inetz GmbH,0,2025-10-30
3fdf6c5c,Stadtwerke Annaberg-Buchholz Energie AG,0,2025-10-30
8694cada,Freiberger Stromversorgung GmbH,0,2025-10-30
fcde1fab,Stadtwerke Olbernhau GmbH,0,2025-10-30
3f9e15d8,ENGIE Deutschland GmbH,0,2025-10-30
cb45bbfd,decarbon1ze GmbH,50,2025-10-30
82c8ab84,Stromnetz Berlin GmbH,50,2025-10-30
